gov_en,gov_ar,dis_en,dis_ar,subdistrict_en,subdistrict_ar,male.urban,female.urban ,total.urban,male.rural,female_rural,total.rural,male.pop,female.pop,total.pop
Ninewa,نينوى,Mosul,الموصل,Markaz Mosul,مركز قضاء الموصل," 617,812 "," 687,978 "," 1,305,790 "," 31,844 "," 38,818 "," 70,662 "," 649,657 "," 726,796 "," 1,376,452 "
Ninewa,نينوى,Mosul,الموصل,Baashiqa,بعشيقة," 15,254 "," 16,986 "," 32,240 "," 46,804 "," 57,054 "," 103,858 "," 62,058 "," 74,040 "," 136,098 "
Ninewa,نينوى,Mosul,الموصل,Al Shurah,الشورة," 4,089 "," 4,554 "," 8,643 "," 23,427 "," 28,558 "," 51,985 "," 27,517 "," 33,112 "," 60,629 "
Ninewa,نينوى,Mosul,الموصل,Hamam al Aleem,حمام العليل," 10,793 "," 12,018 "," 22,811 "," 24,008 "," 29,266 "," 53,274 "," 34,801 "," 41,284 "," 76,084 "
Ninewa,نينوى,Mosul,الموصل,Al Qayara,القيارة," 8,827 "," 9,830 "," 18,657 "," 48,187 "," 58,740 "," 106,928 "," 57,015 "," 68,570 "," 125,584 "
Ninewa,نينوى,Mosul,الموصل,Al Mahalabiah,المحلبية," 4,383 "," 4,881 "," 9,265 "," 12,058 "," 14,698 "," 26,756 "," 16,441 "," 19,579 "," 36,020 "
Ninewa,نينوى,Hamdaniya,الحمدانية,Markaz Hamdaniya,مركز قضاء الحمدانية," 20,916 "," 23,292 "," 44,208 "," 15,900 "," 19,382 "," 35,283 "," 36,817 "," 42,674 "," 79,491 "
Ninewa,نينوى,Hamdaniya,الحمدانية,Namroud,نمرود," 1,748 "," 1,947 "," 3,695 "," 22,797 "," 27,790 "," 50,587 "," 24,545 "," 29,736 "," 54,282 "
Ninewa,نينوى,Hamdaniya,الحمدانية,Bartalla,برطلة," 9,762 "," 10,871 "," 20,633 "," 19,191 "," 23,394 "," 42,585 "," 28,953 "," 34,265 "," 63,218 "
Ninewa,نينوى,Tilkaif,تلكيف,Markaz Tilkaif,مركز قضاء تلكيف," 15,875 "," 17,678 "," 33,553 "," 22,842 "," 27,845 "," 50,687 "," 38,718 "," 45,523 "," 84,241 "
Ninewa,نينوى,Tilkaif,تلكيف,Wanna,وانة," 7,019 "," 7,816 "," 14,835 "," 15,090 "," 18,394 "," 33,484 "," 22,108 "," 26,210 "," 48,319 "
Ninewa,نينوى,Tilkaif,تلكيف,Al Qosh,القوش," 8,864 "," 9,870 "," 18,734 "," 20,429 "," 24,903 "," 45,333 "," 29,293 "," 34,774 "," 64,067 "
Ninewa,نينوى,Sinjar,سنجار,Markaz Sinjar,مركز قضاء سنجار," 18,432 "," 20,525 "," 38,957 "," 20,268 "," 24,707 "," 44,975 "," 38,700 "," 45,232 "," 83,932 "
Ninewa,نينوى,Sinjar,سنجار,Al Shamal,الشمال," 58,073 "," 64,668 "," 122,741 "," 15,295 "," 18,645 "," 33,940 "," 73,368 "," 83,313 "," 156,681 "
Ninewa,نينوى,Sinjar,سنجار,Qaeyrrawan,القيروان," 19,017 "," 21,177 "," 40,194 "," 12,397 "," 15,111 "," 27,508 "," 31,414 "," 36,288 "," 67,702 "
Ninewa,نينوى,Telafar,تلعفر,Markaz Tal Afar,مركز قضاء تلعفر," 78,236 "," 87,122 "," 165,358 "," 17,715 "," 21,594 "," 39,309 "," 95,951 "," 108,716 "," 204,667 "
Ninewa,نينوى,Telafar,تلعفر,Zummar,زمار," 7,964 "," 8,868 "," 16,832 "," 48,204 "," 58,760 "," 106,964 "," 56,168 "," 67,629 "," 123,796 "
Ninewa,نينوى,Telafar,تلعفر,Rubiya,ربيعة," 8,471 "," 9,433 "," 17,903 "," 34,015 "," 41,464 "," 75,478 "," 42,485 "," 50,896 "," 93,382 "
Ninewa,نينوى,Telafar,تلعفر,Ayadiya,العياضية," 6,012 "," 6,695 "," 12,707 "," 20,349 "," 24,805 "," 45,154 "," 26,361 "," 31,500 "," 57,860 "
