LOCATION,Governorate,ID_CAMP,LOCATION_T,Status,typec,LATITUDE,LONGITUDE,plancapacity,AREA_sqm,GPS,LABELX,LABELY,loct,absorption,date,stamp,Select the Site,Development Status,Opening Date,Current status,Managing Organisation,Partners,Individual,Number of tents,Number of caravans (if Any),Planned capacity (number of persons),Pattern in Population Change,Main Area of origin of the population,Main Priority,Population Figure Source,Active Services
Akre,Ninewa,ni-ref-2,Refugee Camp,Open,Refugee Camp Open,36.735437,43.879589,0,0,yes,0,0,Refugee Camp Open,-1401,1/9/2014,01/09/2014 12:45:00,Akre,Open,28/08/2013,,UNHCR,,1401,0,,0,,Majority originate from Qamishli town in north Syria,,,
Basijan,Sulaymaniyah,su-idp-5,IDPs Camps,Under Development,IDPs Camps Under Development,35.494720,44.971150,1000,0,no,0,0,IDPs Camps Under Development,1000,20/10/2014,20/10/2014,Sulaymaniah - Basijan,Under Development,,UN Habitat construction,tbd,UN Habitat,0,,,1000,,,construction,NA,None of those services available
Ainkawa MODM,Erbil,er-idp-5,IDPs Camps,Under Development,IDPs Camps Under Development,36.243583,43.996617,1500,1880,no,4,3,IDPs Camps Under Development,666,30/9/2014,30/09/2014,Erbil - Ainkawa MODM Camp,Under Development,05/09/2014,Camp is fenced and no work in progress further.,MoDM,MoDM,834,,,1500,,,to be updated,Estimation,None of those services available
Deraboun area,Dahuk,da-idp-6,IDPs Camps,Open,IDPs Camps Open,37.084240,42.427900,1728,0,no,4,3,IDPs Camps Open,228,20/10/2014,20/10/2014,Dahuk - Deraboun area Camp,Open,,informal settlement - no management. 35 communal tents and 23 canvas tents,none,UNICEF,1500,,,1728,,,tbd,Household Count,"Sanitation facilities, Core Relief Item Distribution"
Harsham Camp (Min of Agr Land),Erbil,er-idp-4,IDPs Camps,Under Development,IDPs Camps Under Development,36.256150,43.995330,1800,62500,yes,4,3,IDPs Camps Open,-530,20/10/2014,20/10/2014,Erbil - Harsham Camp (Min. of Agri Land),Open,,opened and winterization programme started,ACTED,"UNHCR, UNICEF",1530,,,1000,,,winterization,Household Count,"Potable Water, Food Distribution or Voucher, Sanitation facilities, Core Relief Item Distribution"
Sulaimaniyah Sitak Collective Center,Sulaymaniyah,su-idp-4,IDPs Camps,Under Development,IDPs Camps Under Development,35.636000,45.516000,2400,0,no,0,0,IDPs Camps Under Development,0,30/9/2014,30/09/2014,Sulaimaniyah - Sitak Collective Center,Under Development,,In design phase at the moment. Was a former construction company base during construction projects. ,Government,"UNHCR, THW",0,30/12/1899,30/12/1899,,,,"No IDPs - no active services yet.  
Main priority is to complete the design",NA,None of those services available
Sulaimaniyah  Zrgwez Collective Center,Sulaymaniyah,su-idp-5,IDPs Camps,Under Development,IDPs Camps Under Development,35.636000,45.516000,2400,0,no,0,0,IDPs Camps Under Development,0,30/9/2014,30/09/2014 11:12:52,Sulaimaniyah - Zrgwez Collective Center,Under Development,,In design phase at the moment. Was a former construction company base during construction projects. ,Government,"UNHCR, THW",0,0,0,,,,design completion,NA,None of those services available
Baharka Old,Erbil,er-idp-1,IDPs Camps,Open,IDPs Camps Open,36.300653,44.021577,3300,0,no,4,3,IDPs Camps Open,-2700,30/9/2014,30/09/2014,Erbil - Baharka Old,Open,10/06/2014,"-UNHCR divided warehouse into living spaces including fire risk reductions
-IMC providing health care
-cooking sets distributed
-food by WFP and Barzani
-kerosene provision is challenge
-WASH facilities are not accessible for mobility impaired, and need better lighting","UNHCR, UNICEF","WFP, Barzani, IMC",6000,,,3300,,,"to be determined
",Household Count,"Potable Water, Food Distribution or Voucher, Sanitation facilities, Core Relief Item Distribution, Health Facilities"
Ainkawa Municipality,Erbil,er-idp-3,IDPs Camps,Under Development,IDPs Camps Under Development,36.227658,43.993932,4000,351952,no,4,3,IDPs Camps Under Development,0,30/9/2014,30/09/2014,Erbil - Ainkawa Municipality Camp,Under Development,01/11/2014,to be updated,to be updated,"UNHCR, UNICEF",0,,,,,,to be updated,NA,None of those services available
Basrah Collective Center,Basrah,bs-idp-1,Collective center,Open,Collective center,30.500994,47.815897,4200,,yes,4,3,Collective center Open,-100,6/10/2014,06/10/2014,Basrah - Basrah Collective Center,Open,23/08/2014,The collective centre is located in north of Basra. It open by the local government. It is government building has build five years ado as market but nobody used. So the gov decided to use for IDPs in Basrah. ,Basrah Government and emergency cell,"UNHCR, IOM, MoDM and local GOV",800,0,17,700,NTR,"Musal, Dyala and Karkuk ",To develop the situation of hygiene in the collective center  ,Gvt Registration,"Potable Water, Food Distribution or Voucher, Sanitation facilities, Core Relief Item Distribution, Health Facilities"
Bahari Taza Camp (name may change),Diyala,di-idp-1,IDPs Camps,Under Development,IDPs Camps Under Development,34.326136,45.356564,4400,0,yes,4,3,IDPs Camps Under Development,4400,28/9/2014,28/09/2014 13:00:23,Diyala - Bahari Taza camp,Under Development,,under development,TBD,"ACTED, UNHCR",0,0,0,4400,n/a,n/a,under development,NA,None of those services available
Aiden Camp,Diyala,di-idp-2,IDPs Camps,Open,IDPs Camps Open,34.203708,45.194521,4500,60000,yes,4,3,IDPs Camps Open,-3442,28/9/2014,28/09/2014 12:49:02,Diyala - Aiden Camp,Open,,MoDM distributed 1500 mattresses on 23 Sept,LNGO Kanz ,"LNGO Kanz, ACTED",7942,,,4500,,,TBD,Estimation,"Food Distribution or Voucher, Core Relief Item Distribution"
Basirma,Erbil,er-ref-6,Refugee Camp,Open,Refugee Camp Open,36.483300,44.366700,4580,150000,yes,0,0,Refugee Camp Open,1245,1/9/2014,01/09/2014 12:45:00,Basirma,Open,26/08/2013,,UNHCR,,3335,0,,4580,Hosting refugees who entered KR after the 15.8.13 influx,Majority is from Qamishli and Hasaka in Syria,,,
