dis_en,District,A2NameEn,LocationLevel2Description
Abu Al-Khaseeb,Abu Al-Khaseeb,Abu Al-Khaseeb,
Abu Ghraib,Abu Ghraib,Abu Ghraib,Abu Ghraib
Adhamia,Adhamia,Adhamia,Adhamiya / Istiqlal
Afaq,Afaq,Afaq,Ain Al Arab
Ain Al-Tamur,Ain Al-Tamur,Ain Al-Tamur,
Al Dujeel,Akre,Akre,Akre
Ali Al-Gharbi,Ali Al-Gharbi,Ali Al-Gharbi,
Al Hawiga,Al-Hawiga,Hawiga,
Al-Ka'im,Al-Ka'im,Ka'im,Al-Qaim
Al-Rutba,Al-Rutba,Rutba,Al-Rutba
Amara,Amara,Amara,Amara
Amedi,Amedi,Amedi,Amedi
Ana,Ana,Ana,Ana
Azezia,Al-Azezia,Azezia,
Ba'aj,,Ba'aj,Al-Ba'aj
Ba'quba,Ba'quba,Ba'quba,Ba'quba
Badra,,Badra,Badra
Baiji,Baiji,Baiji,Baiji
Balad,Balad,Balad,Balad
Baladrooz,Baladrooz,Baladrooz,
Bardarash,,,Bardarash
Basrah,Basrah,Basrah,Basrah
Chamchamal,Chamchamal,Chamchamal,Chamchamal
Chibayish,Al-Chibayish,Chibayish,
Choman,,Choman,Choman
Dahuk,Dahuk,Dahuk,Dahuk
Daquq,Daquq,Daquq,Daquq
Darbandihkan,Darbandihkan,Darbandihkan,Darbandihkan
Daur,Al-Daur,Daur,
Dibis,,Dabes,Diebis
Diwaniya,Diwaniya,Diwaniya,Diwaniya
Dokan,Dokan,Dokan,Dokan
Erbil,Erbil,Erbil,Erbil
Falluja,Falluja,Falluja,Falluja
Fao,,Fao,
Haditha,Haditha,Haditha,Haditha
Hai,Al-Hai,Hai,Al-Hai
Halabja,Halabja,Halabja,Halabja
Hamdaniya,,Hamdaniya,
Hamza,Hamza,Hamza,
Hashimiya,Hashimiya,Hashimiya,
Hatra,,Hatra,Hatra
Heet,Heet,Heet,Heet
Hilla,Hilla,Hilla,Hilla
Hindiya,,Hindiya,
Kadhimia,Kadhimia,Kadhimia,
Kahla,,Kahla,
Kalar,Kalar,Kalar,Kalar
Al Karkh,Karkh,Karkh,Karkh
Kerbala,Kerbala,Kerbala,Kerbala
Khabat,,,Khabat
Khalis,Al-Khalis,Khalis,Al-Khalis
Khanaqin,Khanaqin,Khanaqin,Khanaqin
Khidhir,,Khidhir,
Kifri,Kifri,Kifri,Kifri
Kirkuk,Kirkuk,Kirkuk,Kirkuk
Koisnjaq,Koisnjaq,Koisnjaq,Koisnjaq
Kufa,Kufa,Kufa,Kufa
Kut,Kut,Kut,Kut
Mada'in,Mada'in,Mada'in,Mada'in
Mahawil,Al-Mahawil,Mahawil,
Mahmoudiya,Mahmoudiya,Mahmoudiya,Mahmoudiya
Maimouna,Al-Maimouna,Maimouna,
Makhmur,Makhmur,Makhmur,Makhmur
Manathera,Al-Manathera,Manathera,
Mejar Al-Kabi,Al-Mejar Al-Kabi,Mejar Al-Kabi,
Mergasur,,Mergasur,
Midaina,,Midaina,
Mosul,Mosul,Mosul,Mosul
Muqdadiya,Al-Muqdadiya,Muqdadiya,Al-Muqdadiya
Musayab,Al-Musayab,Musayab,Al-Musayab
Na'maniya,Al-Na'maniya,Na'maniya,
Najaf,Najaf,Najaf,Najaf
Nassriya,Nassriya,Nassriya,
Penjwin,,Penjwin,Penjwin
Pshdar,Pshdar,Pshdar,
Qal'at Saleh,Qal'at Saleh,Qal'at Saleh,
Qaradagh,,,
Qurna,Al-Qurna,Qurna,
Ra'ua,Ra'ua,,
Ramadi,Ramadi,Ramadi,Ramadi
Rania,Rania,Rania,Rania
Rawanduz,,,Rawanduz
Al Resafa,Al Resafa,Resafa,Al Resafa
Rifa'i,Al-Rifa'i,Rifa'i,
Rumaitha,,Rumaitha,
Said Sadek,,,Said Sadiq
Salman,,Salman,
Samarra,Samarra,Samarra,Samarra
Samawa,,Samawa,
Shahrazur,,,
Shamiya,Al-Shamiya,Shamiya,
Shaqlawa,Shaqlawa,Shaqlawa,Shaqlawa
Sharbazher,Sharbazher,Sharbazher,Sharbazher
Shatra,Al-Shatra,Shatra,
Shatt Al-Arab,Shatt Al-Arab,Shatt Al-Arab,
Sheikhan,,,Shekhan
Shikhan,Al-Shikhan,Shikhan,
Shirqat,Al-Shirqat,Shirqat,
Sinjar,Sinjar,Sinjar,
Soran,Soran,Soran,Soran
Sulaymaniya,Sulaymaniya,Sulaymaniya,Sulaymaniyah
Sumel,Sumel,Sumel,Sumel
Suq Al-Shoyokh,Suq Al-Shoyokh,Suq Al-Shoyokh,
Suwaira,Al-Suwaira,Suwaira,Al-Suwaira
Tarmia,Tarmia,Tarmia,Tarmia
Telafar,Telafar,Telafar,Telafar
,Thawra2,Thawra2,
Tikrit,Tikrit,Tikrit,Tikrit
Tilkaif,Tilkaif,Tilkaif,Tilkaif
Tooz,Tooz,Tooz,
Zakho,Zakho,Zakho,Zakho
Zubair,Al-Zubair,Zubair,Al-Zubair
Sadr 1,,,Al Sader
Sadr 2,,,
Banslawah,,,
Mawat,,,
,Al-Hindiya,,
,Al-Midaina,,
,Al-Kahla,,
,,Thethar,
,,Fares,
,,Thawra1,
,,Ru'ua,
,,,Duhok
,,,Quamishli
,,,Ras Al Ain
,,,Kafar Souseh
,,,Taji
,,,Kamyaran
,,,Bukan
,,,Al Bab
,,,Al-Faris

