Governorate,Planning.Figure,family
Anbar,370381,61730.1666666667
Dahuk,520445,86740.8333333333
Baghdad ,109113,18185.5
Basrah  ,3528,588
Babylon ,16547,2757.8333333333
Salah al-Din,38259,6376.5
Diyala,58437,9739.5
Kerbala,60315,10052.5
Erbil,184006,30667.6666666667
Kirkuk,128042,21340.3333333333
Missan,4454,742.3333333333
Muthanna,3600,600
Najaf,74710,12451.6666666667
Ninewa,90307,15051.1666666667
Qadissiya,13407,2234.5
Wassit,22807,3801.1666666667
Sulaymaniyah,95207,15867.8333333333
Thi-Qar,6435,1072.5

