"","PlaceID","id","Governroate","District.x","Sub.District","Area","Place.x","sites.Religious.Buildings","sites.Unfinished.Buildings","sites.Open.Air","families.Religious.Buildings","families.Unfinished.Buildings","families.Open.Air","dtmfam.Religious.Buildings","dtmfam.Unfinished.Buildings","diff.Religious.Buildings","diff.Unfinished.Buildings","totalsites","totalfamilies","familysite","class.totalsites","class.familysite","Governorate","District.y","Place.y","Longitude","Latitude","base2","total","Master.Families","IDPs.in.Camps.or.transit.camps","School.Building","Mosques.Holly.Shrines","Abandoned.public.buildings.under.construction","Collective.centres","Informal.settlements","Military.Camps","Unknown.or.other","private.setting","communal.setting","communal.setting10","Hosted.or.Owned.Accomodation","Rented.Accomodation","Organised.site","Improvised.site","Squatted.schools","Open.air","class.family.fixed","class.quartile"
"1",3643,104,"Sulaymaniyah","Dokan","","","Centre",1,NA,NA,7,NA,NA,0,0,7,0,1,7,7,1,1,"Sulaymaniyah","Dokan","Khalakan",44.83,36.02,"KRI",114,19,0,0,0,84,0,0,0,0,30,84,84,0,30,0,84,0,0,"0-49","(72,252]"
"2",5809,111,"Sulaymaniyah","Sulaymaniyah","","","Tasluja",NA,1,NA,NA,14,NA,0,0,0,14,1,14,14,1,1,"Sulaymaniyah","Sulaymaniya","Tasluja",45.22,35.59,"KRI",2394,399,0,0,0,126,0,0,0,0,2268,126,126,0,2268,0,126,0,0,"250-499","(870,5.42e+04]"
"3",6251,110,"Sulaymaniyah","Sulaymaniyah","","","Qularaese Kon",NA,5,NA,NA,30,NA,0,103,0,-73,5,30,6,1,1,"Sulaymaniyah","Sulaymaniya","Qularaese Kon",45.3477,35.5973,"KRI",2046,341,0,0,0,180,0,0,0,0,1866,180,180,0,1866,0,180,0,0,"250-499","(870,5.42e+04]"
"4",7833,8,"Dahuk","Amedi","Deralook","Sheladze","Sheladze",NA,10,NA,NA,110,NA,NA,NA,0,110,10,110,11,1,1,"Dahuk","Amedi","Sheladize Collective",43.79,37.03,"KRI",1536,256,0,0,0,660,0,0,0,0,876,660,660,336,540,0,660,0,0,"250-499","(870,5.42e+04]"
"5",7835,7,"Dahuk","Amedi","Sarsink","Sarsink","Sarsink City Centre",3,13,NA,109,241,NA,NA,NA,109,241,16,350,21.875,1,2,"Dahuk","Amedi","Sarsink",43.34,37.03,"KRI",10278,1713,0,0,708,3822,0,0,0,342,5406,4530,4530,1962,3444,708,3822,0,0,"500-2000","(870,5.42e+04]"
"6",7860,4,"Dahuk","Amedi","Sarsink","Inshke","Inshke",3,96,NA,28,342,NA,NA,NA,28,342,99,370,3.73737373737374,3,1,"Dahuk","Amedi","Inishke",43.2144,37.0618,"KRI",3504,584,810,0,0,2634,0,0,0,0,60,3444,3444,0,60,0,3444,0,0,"500-2000","(870,5.42e+04]"
"7",7861,1,"Dahuk","Amedi","(blank)","Amedi","Amedi City Centre",1,15,NA,63,70,NA,NA,NA,63,70,16,133,8.3125,1,1,"Dahuk","Amedi","Amedi",43.2915,37.053,"KRI",2712,452,0,0,378,420,0,0,0,174,1740,798,798,1410,330,378,420,0,0,"250-499","(870,5.42e+04]"
"8",7862,6,"Dahuk","Amedi","Sarsink","Qadish","Qadish",1,3,NA,3,17,NA,NA,NA,3,17,4,20,5,1,1,"Dahuk","Amedi","Qadish Collective",43.38,37.09,"KRI",2388,398,0,0,60,162,0,0,0,0,2166,222,162,636,1530,60,162,0,0,"250-499","(870,5.42e+04]"
"9",7921,27,"Dahuk","Dahuk","Zawita","Zawita","Zawita",1,8,1,35,276,128,40,610,-5,-334,10,439,43.9,1,3,"Dahuk","Dahuk","Zawita",43.12,36.9,"KRI",10020,1670,600,3414,210,1728,0,0,0,1968,2100,5952,5952,600,1500,210,2328,3414,0,"500-2000","(870,5.42e+04]"
"10",7945,10,"Dahuk","Dahuk","City Centre","City Centre","Baroshke",1,NA,NA,49,NA,NA,200,850,-151,-850,1,49,49,1,3,"Dahuk","Dahuk","Baroshke",43.04,36.85,"KRI",11100,1850,0,4566,354,600,0,0,0,846,4734,5520,5520,1644,3090,354,600,4566,0,"500-2000","(870,5.42e+04]"
