"","Governorate","total","IDPs.in.Camps.or.transit.camps","School.Building","Mosques.Holly.Shrines","Abandoned.public.buildings.under.construction","Collective.centres","Informal.settlements","Military.Camps","Unknown.or.other","Hosted.or.Owned.Accomodation","Rented.Accomodation","Organised.site","Improvised.site","Squatted.schools","Open.air","communal.setting","private.setting"
"1","Anbar",362238,0,24354,1032,41064,16266,5220,0,216,219516,54570,17298,41064,24354,5220,87936,274086
"2","Babylon",31806,24,138,6888,1578,216,0,0,2604,17550,2808,7104,1602,138,0,8844,20358
"3","Baghdad",127446,0,4548,2958,762,186,492,216,9024,85140,24120,3360,762,4548,492,9162,109260
"4","Basrah",8712,36,0,0,0,0,0,0,42,6840,1794,0,36,0,0,36,8634
"5","Dahuk",452004,41184,76290,10308,117216,0,0,0,29382,112674,64950,10308,158400,76290,0,244998,177624
"6","Diyala",75498,12312,3312,0,10548,0,348,0,8022,24210,16746,0,22860,3312,348,26520,40956
"7","Erbil",156522,7650,378,11910,9168,4230,0,0,504,10488,112194,16140,16818,378,0,33336,122682
"8","Kerbala",63528,0,0,52998,84,288,156,0,870,3168,5964,53286,84,0,156,53526,9132
"9","Kirkuk",171204,0,2004,3204,30300,0,3810,0,47460,62082,22344,3204,30300,2004,3810,39318,84426
"10","Missan",6750,0,2376,0,0,0,36,0,552,2844,942,0,0,2376,36,2412,3786
"11","Najaf",80232,0,294,64956,0,0,48,0,102,618,14214,64956,0,294,48,65298,14832
"12","Ninewa",165858,6870,12954,7392,43272,0,474,480,1518,69558,23340,7872,50142,12954,474,71442,92898
"13","Qadissiya",16302,0,60,5928,3228,0,642,0,30,3588,2826,5928,3228,60,642,9858,6414
"14","Salah al-Din",43086,30,6450,1404,8106,0,180,0,0,15048,11868,1404,8136,6450,180,16170,26916
"15","Sulaymaniyah",100968,3180,306,1146,3192,0,0,0,312,522,92310,1146,6372,306,0,7824,92832
"16","Thi-Qar",8790,0,6,1344,0,0,78,0,420,4752,2190,1344,0,6,78,1428,6942
"17","Wassit",27900,0,690,23598,60,24,0,0,180,2544,804,23622,60,690,0,24372,3348
