"","Governorate.dtm","governorate.census","Governorate.progres","Governorate.shp","short","Longitude_c","Latitude_c","kri","Province","HASC","FIPS","Population","Capital","Postal","Total","code","govc_ar","capital","capital_ar","areasq.km","population1997.10.16census","population2003.01estimate","population2011estimate","src","total","IDPs.in.Camps.or.transit.camps","School.Building","Mosques.Holly.Shrines","Abandoned.public.buildings.under.construction","Collective.centres","Informal.settlements","Military.Camps","Unknown.or.other","Hosted.or.Owned.Accomodation","Rented.Accomodation","Organised.site","Improvised.site","Squatted.schools","Open.air","communal.setting","private.setting","idp.ref","idp.ref.rank","idp.pop","idp.pop.rank","ref.pop","ref.pop.rank","total.rank","A1NameAlt1","class.communalsetting","comm.private","comm.private.rank","class.school","composite","class.composite","pc","planning","planningcommunal","planningcccm","class.planningcommunal","class.planningcccm"
"3","Anbar","Muhafazat al-Anbar","Anbar","Anbar","AN",41.6158587934,32.9738097989,"no","Al-Anbar"," IQ.AN"," IZ01",1023776," Ar-Ramadi",31,4718,4,"محافظة الانبار","Al-Ramadi"," الرمادي",138288,1023736,1230140,1561407,"http://www.geohive.com/cntry/iraq.aspx",362238,0,24354,1032,41064,16266,5220,0,216,219516,54570,17298,41064,24354,5220,87936,274086,76.7778719796524,"1",0.231994604865996,"4",0.00302163369320107,"2","4","Anbar","4",0.320833606970075,"1","4",310,4,0.190767645999355,343380,0.242902365049638,83408,"10% to 25%","4"
"4","Babylon","Muhafazat Babylon","Babylon","Babylon","BB",44.5990466985,32.531128293,"no","Babil"," IQ.BB"," IZ06",1181751," Al-Hillah",51,29,6,"محافظة بابل","Al-Hilla"," الحلة",5119,1181751,1385782,1820673,"http://www.geohive.com/cntry/iraq.aspx",31806,24,138,6888,1578,216,0,0,2604,17550,2808,7104,1602,138,0,8844,20358,1096.75862068966,"3",0.0174693643504353,"1",1.59281760096404e-05,"1","1","Babylon","1",0.434423813734159,"1","1",100,1,0.0167501911689428,30150,0.302855968769262,9132,"25% to 50%","1"
"5","Baghdad","Muhafazat Baghdad","Baghdad","Baghdad","BG",44.4001199881,33.2767646424,"no","Baghdad"," IQ.BG"," IZ07",5423964," Baghdad",10,10282,5,"محافظة بغداد","Baghdad"," بغداد",4555,5423964,6024299,7055196,"http://www.geohive.com/cntry/iraq.aspx",127446,0,4548,2958,762,186,492,216,9024,85140,24120,3360,762,4548,492,9162,109260,12.3950593269792,"1",0.0180641331580299,"1",0.00145736560685203,"2","3","Baghdad","1",0.0838550247116969,"1","2",125,1,0.0671176779135095,120810,0.0773673810609515,9347,"5% to 10%","1"
"6","Basrah","Muhafazat Basrah","Basrah","Basrah","BA",47.4093337069,30.3881641805,"no","Al-Basrah"," IQ.BA"," IZ02",1556445," Al-Basrah",61,6,15,"محافظة البصرة","Al-Basrah ","البصرة",19070,1556445,1880176,2531997,"http://www.geohive.com/cntry/iraq.aspx",8712,36,0,0,0,0,0,0,42,6840,1794,0,36,0,0,36,8634,1452,"4",0.00344076237057153,"1",2.36967105411262e-06,"1","1","Basrah","1",0.00416956219596942,"1","1",100,1,0.00458805462692038,8260,0.0041522491349481,35,"< 5%","1"
"7","Dahuk","Muhafazat Duhouk","Duhok","Dahuk","DA",43.1387398479,37.0625791353,"yes","Dahuk"," IQ.DA"," IZ08",402970," Dahuk",42,95142,16,"محافظة دهوك","Duhouk ","دهوك",6553,402970,782489,1128745,"http://www.geohive.com/cntry/iraq.aspx",452004,41184,76290,10308,117216,0,0,0,29382,112674,64950,10308,158400,76290,0,244998,177624,4.75083559311345,"1",0.400448285485207,"5",0.0842900743746373,"5","5","Dahuk","5",1.37930685042562,"2","5",410,5,0.238041671669711,428480,0.579709527663018,248394,"> 50%","5"
"8","Diyala","Muhafazat Diala","Diyala","Diyala","DI",45.1036095806,33.962134647,"no","Diyala"," IQ.DI"," IZ10",1135223," Ba'qubah",32,284,3,"محافظة ديالى","Baquba ","بعقوبة",17685,1135223,1224358,1443173,"http://www.geohive.com/cntry/iraq.aspx",75498,12312,3312,0,10548,0,348,0,8022,24210,16746,0,22860,3312,348,26520,40956,265.838028169014,"2",0.0523138944534023,"2",0.000196788603999659,"1","2","Diyala","2",0.647524172282449,"1","2",170,2,0.0397599802827404,71570,0.393028632402632,28130,"25% to 50%","2"
"9","Erbil","Muhafazat Erbil","Erbil","Erbil","AR",44.1898607577,36.3094934767,"yes","Arbil"," IQ.AR"," IZ11",1095992," Arbil",44,107651,17,"محافظة أربيل","Erbil ","اربيل",15074,1095992,1313719,1612692,"http://www.geohive.com/cntry/iraq.aspx",156522,7650,378,11910,9168,4230,0,0,504,10488,112194,16140,16818,378,0,33336,122682,1.45397627518555,"1",0.0970563504996614,"3",0.066752361889313,"4","3","Erbil","2",0.271726903702255,"1","1",170,2,0.0824301522399944,148370,0.213667653732262,31702,"10% to 25%","2"
"10","Kerbala","Muhafazat Kerbela","Kerbala","Kerbala","KA",43.8199252761,32.5084080707,"no","Karbala'"," IQ.KA"," IZ12",594235," Karbala'",56,304,7,"محافظة كربلاء","Kerbela ","كربلاء",5034,594235,723840,1066567,"http://www.geohive.com/cntry/iraq.aspx",63528,0,0,52998,84,288,156,0,870,3168,5964,53286,84,0,156,53526,9132,208.973684210526,"2",0.0595630654239255,"2",0.000285026632175944,"1","2","Kerbala","3",5.86136662286465,"4","1",255,3,0.0334561448965792,60220,0.854256439720387,51444,"> 50%","3"
"11","Kirkuk","Muhafazat Kirkuk","Kirkuk","Kirkuk","KI",44.1574054903,35.3213108663,"no","Kirkuk"," IQ.TS"," IZ13",753171," Kirkuk",36,718,2,"محافظة كركوك","Kirkuk ","كركوك",9679,753171,848007,1395614,"http://www.geohive.com/cntry/iraq.aspx",171204,0,2004,3204,30300,0,3810,0,47460,62082,22344,3204,30300,2004,3810,39318,84426,238.445682451253,"2",0.122672888062172,"3",0.000514468900426622,"1","3","Kirkuk","2",0.465709615521285,"1","1",170,2,0.090162225016905,162290,0.317736617532971,51566,"25% to 50%","3"
"12","Missan","Muhafazat Maysan","Missan","Missan","MA",47.0549226852,31.8996425495,"no","Maysan"," IQ.MA"," IZ14",637126," Al-Amarah",62,3,14,"محافظة ميسان","Al-Amara"," العمارة",16072,637126,803225,971448,"http://www.geohive.com/cntry/iraq.aspx",6750,0,2376,0,0,0,36,0,552,2844,942,0,0,2376,36,2412,3786,2250,"5",0.00694839044395583,"1",3.08817353064703e-06,"1","1","Missan","1",0.637083993660856,"1","1",100,1,0.00355479439069244,6400,0.389157792836399,2491,"25% to 50%","1"
