"","Seq","Master.ID","DTM.ID","Master.Families","Origin.Governorate","Displacement.Info.Status","Governorate","District","Sub.District","Area","Place","Place_ar","PlaceID","Longitude","Latitude","Last.Asst.Rd#","Current.Round","Current.Round.Date","IDPs.in.Camps.or.transit.camps","Rented.Hotel","Rented.House","IDP.Owned.House","With.Relative","With.HC.non.Relative","School.Building","Mosques.Holly.Shrines","Abandoned.public.buildings.under.construction","Collective.centres","Informal.settlements","Military.Camps","Unknown.or.other","sufficient.access.to.food","adequate.access.to.potable.water","in.need.of.CRIs","adequate.sanitation.facilities","access.to.functioning.health.facilities","priority.need.of.the.displaced.population.in.the.location","has.received.assistance","assistance.previously.received","Note","Date.Displacement","total","Month.Displacement","communal.setting","private.setting","pc.communal","pc.camp","priority.Food","priority.Shelter","priority.NFI","priority.Water","priority.Cash","priority.Health","priority.Child","class.total","class.pccommunal","class.school","class.camp","class.date","datecut","Assistance.received","Shelterpriority","Hosted.or.Owned.Accomodation","Rented.Accomodation","Organised.site","Improvised.site","Squatted.schools","Open.air","base2","IDPs.in.Camps.or.transit.camps10","School.Building10","Mosques.Holly.Shrines10","Abandoned10","Collective.centres10","Informal.settlements10","Military.Camps10","communal.setting10"
"1",1,NA,NA,154,"Anbar","Same","Anbar","Al-Ka'im",NA,NA,"Al `Ubaydi","مرحلة الاولى","90",41.18,34.41,NA,NA,NA,0,0,426,0,426,0,0,0,0,72,0,0,0,"No","No","Yes","No",NA,NA,NA,NA,NA,2014-05-15,924,"May-14",72,852,0.0779220779220779,0,0,0,0,0,0,0,0,1,1,1,1,1,"Pre-June",1,0,426,426,72,0,0,0,"Rest of Iraq",0,0,0,0,72,0,0,72
"2",2,NA,NA,210,"Anbar","Same","Anbar","Al-Ka'im",NA,NA,"Al `Ubaydi-2","مرحلة الثانية ","23797",41.202051,34.421411,NA,NA,NA,0,0,510,0,672,0,0,0,66,12,0,0,0,"No","No","Yes","No",NA,NA,NA,NA,NA,2014-05-15,1260,"May-14",78,1182,0.0619047619047619,0,0,0,0,0,0,0,0,2,1,1,1,1,"Pre-June",1,0,672,510,12,66,0,0,"Rest of Iraq",0,0,0,66,0,0,0,66
"3",3,NA,NA,164,"Anbar","Same","Anbar","Al-Ka'im",NA,NA,"Al `Ubaydi-3","مرحلة الثالثة","164",41.234951,34.433919,NA,NA,NA,0,0,420,0,246,0,180,0,0,138,0,0,0,"No","No","Yes","No",NA,NA,NA,NA,NA,2014-05-15,984,"May-14",318,666,0.323170731707317,0,0,0,0,0,0,0,0,1,3,2,1,1,"Pre-June",1,0,246,420,138,0,180,0,"Rest of Iraq",0,180,0,0,138,0,0,318
"4",4,NA,NA,136,"Anbar","Same","Anbar","Al-Ka'im",NA,NA,"Al `Ubaydi-Smnt","المجمع السكني لمعمل سمنت القائم","23798",41.202051,34.421411,NA,NA,NA,0,0,438,0,378,0,0,0,0,0,0,0,0,"No","No","Yes","No",NA,NA,NA,NA,NA,2014-01-15,816,"Jan-14",0,816,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"Pre-June",1,0,378,438,0,0,0,0,"Rest of Iraq",0,0,0,0,0,0,0,0
"5",5,NA,NA,34,"Anbar","Same","Anbar","Al-Ka'im",NA,NA,"Al Anga'a","حي العنقاء","23792",41.05878,34.37618,NA,NA,NA,0,0,126,0,78,0,0,0,0,0,0,0,0,"No","No","Yes","No",NA,NA,NA,NA,NA,2014-01-15,204,"Jan-14",0,204,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"Pre-June",1,0,78,126,0,0,0,0,"Rest of Iraq",0,0,0,0,0,0,0,0
"6",6,NA,NA,161,"Anbar","Same","Anbar","Al-Ka'im",NA,NA,"Al Aubaidi Al Qadima","العبيدي القديمة ","23647",41.202051,34.421411,NA,NA,NA,0,0,402,0,210,0,84,0,168,102,0,0,0,"No","No","Yes","No",NA,NA,NA,NA,NA,2014-01-15,966,"Jan-14",354,612,0.366459627329193,0,0,0,0,0,0,0,0,1,3,1,1,1,"Pre-June",1,0,210,402,102,168,84,0,"Rest of Iraq",0,84,0,168,102,0,0,354
"7",7,NA,NA,55,"Anbar","Same","Anbar","Al-Ka'im",NA,NA,"Al Nahda Al-Sharqiyah","حي النهضة الشرقية","23791",41.05878,34.37618,NA,NA,NA,0,0,216,0,114,0,0,0,0,0,0,0,0,"No","No","Yes","No",NA,NA,NA,NA,NA,2014-01-15,330,"Jan-14",0,330,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"Pre-June",1,0,114,216,0,0,0,0,"Rest of Iraq",0,0,0,0,0,0,0,0
"8",8,NA,NA,59,"Anbar","Same","Anbar","Al-Ka'im",NA,NA,"Al Rumanah Al Gharbiyah","حي الرمانة الغربية","23795",41.0748,34.403923,NA,NA,NA,0,0,222,0,132,0,0,0,0,0,0,0,0,"No","No","Yes","No",NA,NA,NA,NA,NA,2014-01-15,354,"Jan-14",0,354,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"Pre-June",1,0,132,222,0,0,0,0,"Rest of Iraq",0,0,0,0,0,0,0,0
"9",9,NA,NA,72,"Anbar","Same","Anbar","Al-Ka'im",NA,NA,"Al Rumanah Al Sharqiyah","حي الرمانة الشرقية","23796",41.0748,34.403923,NA,NA,NA,0,0,192,0,162,0,0,0,78,0,0,0,0,"No","No","Yes","No",NA,NA,NA,NA,NA,2014-01-15,432,"Jan-14",78,354,0.180555555555556,0,0,0,0,0,0,0,0,1,2,1,1,1,"Pre-June",1,0,162,192,0,78,0,0,"Rest of Iraq",0,0,0,78,0,0,0,78
"10",10,NA,NA,65,"Anbar","Same","Anbar","Al-Ka'im",NA,NA,"Al Zalla","قرية الزلة","21477",41.455566,34.421179,NA,NA,NA,0,0,0,0,276,0,0,0,66,48,0,0,0,"No","No","Yes","No",NA,NA,NA,NA,NA,2014-01-15,390,"Jan-14",114,276,0.292307692307692,0,0,0,0,0,0,0,0,1,2,1,1,1,"Pre-June",1,0,276,0,48,66,0,0,"Rest of Iraq",0,0,0,66,0,0,0,66
