"","Governorate","District","Place","Longitude","Latitude","PlaceID","base2","total","Master.Families","IDPs.in.Camps.or.transit.camps","School.Building","Mosques.Holly.Shrines","Abandoned.public.buildings.under.construction","Collective.centres","Informal.settlements","Military.Camps","Unknown.or.other","private.setting","communal.setting","communal.setting10","Hosted.or.Owned.Accomodation","Rented.Accomodation","Organised.site","Improvised.site","Squatted.schools","Open.air"
"1","Ninewa","Akre","Daratu",43.451,36.2715,"8776","Disputed Territories",4800,800,0,1200,300,1800,0,600,0,0,900,3900,3900,900,0,300,1800,1200,600
"2","Diyala","Kifri","Kfri",44.96,34.69,"10454","Disputed Territories",2088,348,0,0,0,0,0,0,0,0,2088,0,0,2088,0,0,0,0,0
"3","Diyala","Khanaqin","Tal Manjal",45.352215,34.396183,"10497","Disputed Territories",462,77,0,60,0,264,0,0,0,0,138,324,264,138,0,0,264,60,0
"4","Diyala","Khanaqin","Rahamalla Village",45.28,34.36,"10511","Disputed Territories",150,25,0,0,0,150,0,0,0,0,0,150,150,0,0,0,150,0,0
"5","Diyala","Khanaqin","Mekhas Village",45.35,34.38,"10528","Disputed Territories",210,35,0,0,0,180,0,0,0,0,30,180,180,30,0,0,180,0,0
"6","Diyala","Khanaqin","Tula Frosh",45.38,34.34,"11047","Disputed Territories",1848,308,0,0,0,0,0,0,0,0,1848,0,0,0,1848,0,0,0,0
"7","Ninewa","Al-Shikhan","Atrush",43.32,36.83,"17338","Disputed Territories",2724,454,0,600,300,924,0,900,0,0,0,2724,2724,0,0,300,924,600,900
"8","Ninewa","Al-Shikhan","Mahd",43.4,36.64,"17535","Disputed Territories",1800,300,0,600,150,450,0,0,0,0,600,1200,1200,600,0,150,450,600,0
"9","Ninewa","Akre","Bjil",44.01,36.72,"17776","Disputed Territories",1380,230,0,900,150,150,0,0,0,0,180,1200,1200,180,0,150,150,900,0
"10","Ninewa","Al-Shikhan","Kalakchi",43.52,36.58,"18058","Disputed Territories",5100,850,0,900,822,402,0,0,0,0,2976,2124,2124,2040,936,822,402,900,0
"11","Ninewa","Al-Shikhan","Qasrok",43.6,36.69,"18199","Disputed Territories",1602,267,0,1020,0,0,0,0,0,0,582,1020,1020,582,0,0,0,1020,0
"12","Ninewa","Al-Shikhan","Galye Lalish",43.3,36.77,"18213","Disputed Territories",2880,480,450,0,1200,600,0,480,0,0,150,2730,2730,150,0,1200,1050,0,480
"13","Ninewa","Akre","Azadi",43.5214,36.4333,"18400","Disputed Territories",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","Ninewa","Al-Shikhan","Chira",43.52431,36.63643,"21008","Disputed Territories",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","Ninewa","Al-Shikhan","Ronahi",43.34615,36.68544,"21524","Disputed Territories",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","Ninewa","Al-Shikhan","Kani Rashuk",43.3454,36.6873,"23663","Disputed Territories",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17","Ninewa","Akre","Khabat",43.5237,36.4404,"23664","Disputed Territories",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18","Ninewa","Akre","Bazar Akre (Main Market)",43.5214,36.4333,"24131","Disputed Territories",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19","Ninewa","Al-Shikhan","Mula Barwan",43.3408,36.3848,"24191","Disputed Territories",822,137,0,0,0,0,0,0,0,0,822,0,0,612,210,0,0,0,0
"20","Ninewa","Al-Shikhan","Hay Ma'rof",43.205,36.4118,"24193","Disputed Territories",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21","Ninewa","Al-Shikhan","Garmawa Camp",43.1425,36.6911,"24242","Disputed Territories",3288,548,3288,0,0,0,0,0,0,0,0,3288,3288,0,0,0,3288,0,0
"22","Ninewa","Akre","Botinawa",43.345,36.601,"24243","Disputed Territories",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23","Ninewa","Akre","Raparin",43.3512,36.6006,"24244","Disputed Territories",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24","Diyala","Khanaqin","Al Malab camp",45.399338,34.338568,"24303","Disputed Territories",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25","Diyala","Khanaqin","Hay Imam Abas",45.38398,34.34574,"24312","Disputed Territories",1050,175,0,0,0,0,0,0,0,0,1050,0,0,24,1026,0,0,0,0
"26","Diyala","Khanaqin","Mazra'h",45.38806,34.34446,"24351","Disputed Territories",930,155,0,0,0,90,0,0,0,0,840,90,90,30,810,0,90,0,0
"27","Diyala","Khanaqin","Bahari Taza Area",45.4769,34.3025,"24352","Disputed Territories",1800,300,0,0,0,0,0,0,0,0,1800,0,0,1800,0,0,0,0,0
"28","Diyala","Khanaqin","Iden Camp (Aliawe New)",45.32963,34.34387,"24353","Disputed Territories",930,155,930,0,0,0,0,0,0,0,0,930,930,0,0,0,930,0,0
"29","Diyala","Khanaqin","Hay Al Askari",45.34275,34.35884,"24354","Disputed Territories",672,112,0,0,0,72,0,0,0,0,600,72,72,60,540,0,72,0,0
"30","Diyala","Khanaqin","Shaikh Mahdi village",45.26131,34.411615,"24385","Disputed Territories",420,70,0,120,0,168,0,0,0,120,12,288,288,12,0,0,168,120,0
"31","Diyala","Khanaqin","Ali Saadoun village",45.26131,34.411615,"24386","Disputed Territories",918,153,0,270,0,144,0,0,0,234,270,414,414,228,42,0,144,270,0
"32","Diyala","Khanaqin","Clay Hussein village",45.320969,34.411615,"24387","Disputed Territories",654,109,0,300,0,54,0,0,0,222,78,354,300,78,0,0,54,300,0
"33","Diyala","Khanaqin"," Ahmed Taher Village",45.322242,34.314734,"24388","Disputed Territories",516,86,0,0,0,0,0,0,0,516,0,0,0,0,0,0,0,0,0
