"","Governorate.x","District","base2","total.x","communal.setting.x","private.setting.x","within.aog","outside.aog","Governorate.y","total.y","IDPs.in.Camps.or.transit.camps","School.Building","Mosques.Holly.Shrines","Abandoned.public.buildings.under.construction","Collective.centres","Informal.settlements","Military.Camps","Unknown.or.other","Hosted.or.Owned.Accomodation","Rented.Accomodation","Organised.site","Improvised.site","Squatted.schools","Open.air","communal.setting.y","planning","planningcommunal","planningcccm","class.planningcommunal","class.planningcccm","Population.2014","diff","planning2","diffgvt","planningcccm2","planningcommunal2","communalplan.within.aog","communalplan.outside.aog","class.planningcommunal2"
"1","Anbar","Ana","Rest of Iraq",13308,1188,12120,13308,0,NA,343356,0,23844,1032,41064,16266,5220,0,216,201144,54570,17298,41064,23844,5220,87426,352500,0.254782304598706,89811,"25% to 50%","4",1675606,-9578,13663,NA,1220,0.0892696122633003,1220,0,"5% to 10%"
"2","Anbar","Haditha","Rest of Iraq",36450,4242,32208,1098,35352,NA,343356,0,23844,1032,41064,16266,5220,0,216,201144,54570,17298,41064,23844,5220,87426,352500,0.254782304598706,89811,"25% to 50%","4",1675606,-9578,37421,NA,4356,0.116378600823045,132,4224,"10% to 25%"
"3","Anbar","Heet","Rest of Iraq",94566,16374,77976,5484,89082,NA,343356,0,23844,1032,41064,16266,5220,0,216,201144,54570,17298,41064,23844,5220,87426,352500,0.254782304598706,89811,"25% to 50%","4",1675606,-9578,97085,NA,16849,0.173545310015898,978,15872,"10% to 25%"
"4","Anbar","Al-Ka'im","Rest of Iraq",16164,1272,14892,16164,0,NA,343356,0,23844,1032,41064,16266,5220,0,216,201144,54570,17298,41064,23844,5220,87426,352500,0.254782304598706,89811,"25% to 50%","4",1675606,-9578,16595,NA,1306,0.0786933927245731,1306,0,"5% to 10%"
"5","Anbar","Al-Rutba","Rest of Iraq",25152,6000,19152,19992,5160,NA,343356,0,23844,1032,41064,16266,5220,0,216,201144,54570,17298,41064,23844,5220,87426,352500,0.254782304598706,89811,"25% to 50%","4",1675606,-9578,25822,NA,6160,0.238549618320611,4897,1264,"10% to 25%"
"6","Anbar","Ramadi","Rest of Iraq",45054,28230,16824,0,45054,NA,343356,0,23844,1032,41064,16266,5220,0,216,201144,54570,17298,41064,23844,5220,87426,352500,0.254782304598706,89811,"25% to 50%","4",1675606,-9578,46254,NA,28982,0.626581435610601,0,28982,"> 50%"
"7","Anbar","Ra'ua","Rest of Iraq",9420,1182,8238,9420,0,NA,343356,0,23844,1032,41064,16266,5220,0,216,201144,54570,17298,41064,23844,5220,87426,352500,0.254782304598706,89811,"25% to 50%","4",1675606,-9578,9671,NA,1214,0.125477707006369,1214,0,"10% to 25%"
"8","Anbar","Falluja","Rest of Iraq",103242,28938,74304,62280,40962,NA,343356,0,23844,1032,41064,16266,5220,0,216,201144,54570,17298,41064,23844,5220,87426,352500,0.254782304598706,89811,"25% to 50%","4",1675606,-9578,105992,NA,29709,0.280292904050677,17922,11788,"25% to 50%"
"9","Babylon","Al-Musayab","Rest of Iraq",3582,858,2724,0,3582,NA,25320,12,138,5532,678,0,0,0,2682,14136,2142,5532,690,138,0,6360,25990,0.280943546249669,7302,"25% to 50%","1",1953184,1318,3677,NA,881,0.239530988274707,0,881,"10% to 25%"
"10","Babylon","Hashimiya","Rest of Iraq",4428,1608,1920,0,4428,NA,25320,12,138,5532,678,0,0,0,2682,14136,2142,5532,690,138,0,6360,25990,0.280943546249669,7302,"25% to 50%","1",1953184,1318,4546,NA,2072,0.45578231292517,0,2072,"25% to 50%"
"11","Babylon","Al-Mahawil","Rest of Iraq",4656,480,4176,0,4656,NA,25320,12,138,5532,678,0,0,0,2682,14136,2142,5532,690,138,0,6360,25990,0.280943546249669,7302,"25% to 50%","1",1953184,1318,4780,NA,493,0.103092783505155,0,493,"10% to 25%"
"12","Babylon","Hilla","Rest of Iraq",12654,3414,7458,0,12654,NA,25320,12,138,5532,678,0,0,0,2682,14136,2142,5532,690,138,0,6360,25990,0.280943546249669,7302,"25% to 50%","1",1953184,1318,12989,NA,4079,0.31401766004415,0,4079,"25% to 50%"
"13","Baghdad","Al Resafa","Rest of Iraq",12264,4122,7578,0,12264,NA,110622,0,4704,2922,720,186,492,216,8538,70638,22206,3324,720,4704,492,9240,113570,0.0905136946044434,10280,"5% to 10%","1",7665292,-2728,12591,NA,4436,0.352307692307692,0,4436,"25% to 50%"
"14","Baghdad","Karkh","Rest of Iraq",34992,2412,30462,0,34992,NA,110622,0,4704,2922,720,186,492,216,8538,70638,22206,3324,720,4704,492,9240,113570,0.0905136946044434,10280,"5% to 10%","1",7665292,-2728,35925,NA,2636,0.0733710531118817,0,2636,"5% to 10%"
"15","Baghdad","Mahmoudiya","Rest of Iraq",16908,30,16878,2082,14826,NA,110622,0,4704,2922,720,186,492,216,8538,70638,22206,3324,720,4704,492,9240,113570,0.0905136946044434,10280,"5% to 10%","1",7665292,-2728,17359,NA,31,0.00177430801987225,4,28,"< 5%"
"16","Baghdad","Kadhimia","Rest of Iraq",2484,468,1908,0,2484,NA,110622,0,4704,2922,720,186,492,216,8538,70638,22206,3324,720,4704,492,9240,113570,0.0905136946044434,10280,"5% to 10%","1",7665292,-2728,2551,NA,503,0.196969696969697,0,503,"10% to 25%"
"17","Baghdad","Adhamia","Rest of Iraq",6690,0,6660,0,6690,NA,110622,0,4704,2922,720,186,492,216,8538,70638,22206,3324,720,4704,492,9240,113570,0.0905136946044434,10280,"5% to 10%","1",7665292,-2728,6869,NA,0,0,0,0,"< 5%"
"18","Baghdad","Thawra2","Rest of Iraq",2520,1236,1284,0,2520,NA,110622,0,4704,2922,720,186,492,216,8538,70638,22206,3324,720,4704,492,9240,113570,0.0905136946044434,10280,"5% to 10%","1",7665292,-2728,2588,NA,1270,0.49047619047619,0,1270,"25% to 50%"
"19","Baghdad","Abu Ghraib","Rest of Iraq",32214,0,26496,16986,15228,NA,110622,0,4704,2922,720,186,492,216,8538,70638,22206,3324,720,4704,492,9240,113570,0.0905136946044434,10280,"5% to 10%","1",7665292,-2728,33073,NA,0,0,0,0,"< 5%"
"20","Baghdad","Tarmia","Rest of Iraq",786,66,720,0,786,NA,110622,0,4704,2922,720,186,492,216,8538,70638,22206,3324,720,4704,492,9240,113570,0.0905136946044434,10280,"5% to 10%","1",7665292,-2728,807,NA,68,0.083969465648855,0,68,"5% to 10%"
"21","Baghdad","Mada'in","Rest of Iraq",1764,906,858,0,1764,NA,110622,0,4704,2922,720,186,492,216,8538,70638,22206,3324,720,4704,492,9240,113570,0.0905136946044434,10280,"5% to 10%","1",7665292,-2728,1812,NA,931,0.513605442176871,0,931,"> 50%"
"22","Basrah","Abu Al-Khaseeb","Rest of Iraq",402,0,378,0,402,NA,7140,24,0,0,0,0,0,0,42,5454,1620,0,24,0,0,24,7330,0.00338123415046492,25,"< 5%","1",2744758,502,413,NA,0,0,0,0,"< 5%"
"23","Basrah","Basrah","Rest of Iraq",5304,24,5274,0,5304,NA,7140,24,0,0,0,0,0,0,42,5454,1620,0,24,0,0,24,7330,0.00338123415046492,25,"< 5%","1",2744758,502,5446,NA,25,0.00453001132502831,0,25,"< 5%"
"24","Basrah","Fao","Rest of Iraq",42,0,42,0,42,NA,7140,24,0,0,0,0,0,0,42,5454,1620,0,24,0,0,24,7330,0.00338123415046492,25,"< 5%","1",2744758,502,44,NA,0,0,0,0,"< 5%"
"25","Basrah","Shatt Al-Arab","Rest of Iraq",240,0,240,0,240,NA,7140,24,0,0,0,0,0,0,42,5454,1620,0,24,0,0,24,7330,0.00338123415046492,25,"< 5%","1",2744758,502,247,NA,0,0,0,0,"< 5%"
"26","Basrah","Al-Zubair","Rest of Iraq",666,0,654,0,666,NA,7140,24,0,0,0,0,0,0,42,5454,1620,0,24,0,0,24,7330,0.00338123415046492,25,"< 5%","1",2744758,502,684,NA,0,0,0,0,"< 5%"
