"","Row.names","Governorate","District","Place","Longitude","Latitude","total","Master.Families","IDPs.in.Camps.or.transit.camps","School.Building","Mosques.Holly.Shrines","Abandoned.public.buildings.under.construction","Collective.centres","Informal.settlements","Military.Camps","Unknown.or.other","ID","bio5_17","bio6_17","bio10_17","bio11_17","bio12_17","bio13_17","bio14_17","bio15_17","bio16_17","bio17_17","bio18_17","bio19_17","maxtemp","mintemp","meanwarm","meancold"
"1","1","Basrah","Fao","FAO AlShamaliya",48.4655,29.9786,42,7,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","10","Basrah","Al-Zubair","Hay Al Dirhamiyah 3",47.723,30.3791,30,5,0,0,0,0,0,0,0,0,10,43.6,6.6,34.5,13.3,138,32,0,92,80,0,0,75,"40 to 45°C","5 to 10°C","30 to 35°C","10 to 15°C"
"3","100","Basrah","Basrah","Al Jumhuriya",47.797543,30.522139,132,22,0,0,0,0,0,0,0,0,100,41.5,6.9,33.6,13.6,150,33,0,94,86,0,0,85,"40 to 45°C","5 to 10°C","30 to 35°C","10 to 15°C"
"4","1000","Anbar","Falluja","subihat",43.913023,33.402463,720,120,0,150,0,90,0,60,0,0,1000,43.4,3.9,33.4,11,135,25,0,84,69,0,0,64,"40 to 45°C","0 to 5°C","30 to 35°C","10 to 15°C"
"5","1001","Anbar","Falluja","Al-Shurtan",43.938962,33.403159,834,139,0,120,0,102,0,0,0,0,1001,43.4,3.9,33.4,11,135,25,0,83,69,0,0,64,"40 to 45°C","0 to 5°C","30 to 35°C","10 to 15°C"
"6","1002","Anbar","Falluja","Al Rumila",43.642699,33.40346,1338,223,0,390,0,84,0,0,0,0,1002,43.5,3.7,33.6,10.7,126,21,0,85,60,0,0,57,"40 to 45°C","0 to 5°C","30 to 35°C","10 to 15°C"
"7","1003","Anbar","Falluja","Al Husaiwat",43.89684,33.403487,1320,220,0,144,0,126,0,0,0,0,1003,43.5,3.9,33.5,10.9,134,24,0,83,68,0,0,64,"40 to 45°C","0 to 5°C","30 to 35°C","10 to 15°C"
"8","1004","Baghdad","Al Resafa","Al Sader- Katta'a 76",44.452639,33.403511,300,50,0,0,0,0,0,0,0,0,1004,43.5,4.3,33.5,11.3,162,31,0,88,86,0,0,80,"40 to 45°C","0 to 5°C","30 to 35°C","10 to 15°C"
"9","1005","Anbar","Falluja","Al Tal'a",43.658419,33.403899,2064,344,0,78,30,378,0,84,0,0,1005,43.5,3.8,33.5,10.7,126,22,0,85,61,0,0,57,"40 to 45°C","0 to 5°C","30 to 35°C","10 to 15°C"
"10","1006","Anbar","Falluja","Karma - Al Somod",43.910064,33.405246,1200,200,0,0,0,0,0,0,0,0,1006,43.4,3.9,33.4,11,135,25,0,84,69,0,0,64,"40 to 45°C","0 to 5°C","30 to 35°C","10 to 15°C"
"11","1007","Baghdad","Adhamia","Tunis - 326",44.365548,33.405403,42,7,0,0,0,0,0,0,0,0,1007,43.5,4.2,33.4,11.2,159,30,0,85,84,0,0,78,"40 to 45°C","0 to 5°C","30 to 35°C","10 to 15°C"
"12","1008","Baghdad","Adhamia","Tunis - 330",44.365559,33.405405,54,9,0,0,0,0,0,0,0,0,1008,43.5,4.2,33.4,11.2,159,30,0,85,84,0,0,78,"40 to 45°C","0 to 5°C","30 to 35°C","10 to 15°C"
