"","Row.names","LOCATION","Governorate","ID_CAMP","LOCATION_T","Status","LATITUDE","LONGITUDE","plancapacity","AREA_sqm","Individual","ID","bio5_17","bio6_17","bio10_17","bio11_17","bio12_17","bio13_17","bio14_17","bio15_17","bio16_17","bio17_17","bio18_17","bio19_17","maxtemp","mintemp","meanwarm","meancold"
"1","1","Agricultural Research I","Dahuk","da-idp-5","IDPs Camps","Under Development",37.090867,42.669367,18840,750000,1,1,39.3,1,29.8,6.3,758,130,0,85,382,0,0,381,"35 to 40°C","0 to 5°C","25 to 30°C","5 to 10°C"
"2","10","Khadia","Dahuk","da-idp-15","IDPs Camps","Suggested Camp Location",37.0603,42.618683,28566,1000000,1,10,39.4,1.2,29.9,6.4,739,127,0,85,371,0,0,371,"35 to 40°C","0 to 5°C","25 to 30°C","5 to 10°C"
"3","11","Khanke 1","Dahuk","da-idp-10","IDPs Camps","Open",36.76,42.76,8016,300206,1,11,41.3,2.3,31.1,7.9,860,167,0,92,466,0,0,434,"40 to 45°C","0 to 5°C","30 to 35°C","5 to 10°C"
"4","12","Khanke 2","Dahuk","da-idp-8","IDPs Camps","Under Development",36.781722,42.777056,11520,300206,1,12,41.2,2.2,31.1,7.7,864,168,0,91,468,0,0,437,"40 to 45°C","0 to 5°C","30 to 35°C","5 to 10°C"
"5","13","Sharya","Dahuk","da-idp-7","IDPs Camps","Under Development",36.793444,42.967528,24000,666036,1,13,40.9,1.6,30.6,7.3,810,157,0,90,438,0,0,411,"40 to 45°C","0 to 5°C","30 to 35°C","5 to 10°C"
"6","14","Garmawa","Ninewa","ni-idp-11","IDPs Camps","Open",36.6911,43.1425,7650,286882,1,14,41.3,1.4,30.7,7.4,730,141,0,91,397,0,0,368,"40 to 45°C","0 to 5°C","30 to 35°C","5 to 10°C"
"7","15","Bajet Kandala 2","Dahuk","da-idp-1","IDPs Camps","Open",37.0533,42.4522,5760,248000,1,15,40.1,2.3,30.7,7.3,663,118,0,85,334,0,0,334,"40 to 45°C","0 to 5°C","30 to 35°C","5 to 10°C"
"8","16","Bajet Kandala 1","Dahuk","da-idp-2","IDPs Camps","Open",37.0333,42.4834,9000,243000,1,16,40.3,2.3,30.8,7.4,674,121,0,86,341,0,0,341,"40 to 45°C","0 to 5°C","30 to 35°C","5 to 10°C"
"9","17","Ainkawa Municipality","Erbil","er-idp-3","IDPs Camps","Under Development",36.227658,43.993932,4000,351952,1,17,41.9,2.3,32,8.3,562,115,0,92,312,0,0,300,"40 to 45°C","0 to 5°C","30 to 35°C","5 to 10°C"
"10","18","Ainkawa MODM","Erbil","er-idp-5","IDPs Camps","Under Development",36.243583,43.996617,1500,1880,1,18,41.9,2.3,32,8.3,571,116,0,91,317,0,0,305,"40 to 45°C","0 to 5°C","30 to 35°C","5 to 10°C"
