"","PlaceID","Place","Place_ar","District","Governorate","dtmlocation"
"2482","17734","Akre","عقرة","Akre","Ninewa","dtmlocation"
"2483","8783","Bardarash","بردرش","Akre","Ninewa","dtmlocation"
"2484","17776","Bjil","بجيل","Akre","Ninewa","dtmlocation"
"2485","8776","Daratu","دارتو","Akre","Ninewa","dtmlocation"
"2486","16953","Dinarta","دينارته","Akre","Ninewa","dtmlocation"
"2487","17802","Grdasin","كردسين","Akre","Ninewa","dtmlocation"
"2488","24581","Kalak","كلكك","Akre","Ninewa","dtmlocation"
"2489","24580","Roviya","روفيا","Akre","Ninewa","dtmlocation"
"2491","17338","Atrush","أتروش","Al-Shikhan","Ninewa","dtmlocation"
"2492","17752","Baadre","باعدري","Al-Shikhan","Ninewa","dtmlocation"
"2493","21008","Chira","جرة","Al-Shikhan","Ninewa","dtmlocation"
"2494","18213","Galye Lalish","لالش","Al-Shikhan","Ninewa","dtmlocation"
"2495","24242","Garmawa Camp","مخيم كرماوه","Al-Shikhan","Ninewa","dtmlocation"
"2496","18058","Kalakchi","كلكجي","Al-Shikhan","Ninewa","dtmlocation"
"2497","17535","Mahd","مهد","Al-Shikhan","Ninewa","dtmlocation"
"2498","24191","Mula Barwan","ملا بروان","Al-Shikhan","Ninewa","dtmlocation"
"2499","18199","Qasrok","قسروك","Al-Shikhan","Ninewa","dtmlocation"
"2500","17333","Shekhan","شيخان","Al-Shikhan","Ninewa","dtmlocation"
"2501","17981","Zelkan","زيلكان","Al-Shikhan","Ninewa","dtmlocation"
"1560","7861","Amedi","عمادية","Amedi","Dahuk","dtmlocation"
"1561","8171","Aradin","ارادن","Amedi","Dahuk","dtmlocation"
"1562","7870","Ashawa","اشاوا","Amedi","Dahuk","dtmlocation"
"1563","8189","Bamarne","بامرني","Amedi","Dahuk","dtmlocation"
"1564","7770","Chamanke","جمانكي","Amedi","Dahuk","dtmlocation"
"1565","8229","Deraluk","ديرلوك","Amedi","Dahuk","dtmlocation"
"1567","7860","Inishke","اينشكي","Amedi","Dahuk","dtmlocation"
"1569","8443","Kani Mase","كاني ماسي","Amedi","Dahuk","dtmlocation"
"1570","23903","Kaniya Mala","كانيا مالا","Amedi","Dahuk","dtmlocation"
"1571","7862","Qadish Collective","قدش","Amedi","Dahuk","dtmlocation"
"1573","7835","Sarsink","سرسنك","Amedi","Dahuk","dtmlocation"
"1575","7833","Sheladize Collective","شيلادزي","Amedi","Dahuk","dtmlocation"
"2842","24214","Anfalakan","انفالكان","Chamchamal","Sulaymaniyah","dtmlocation"
"2844","24688","Asuda","اسودة","Chamchamal","Sulaymaniyah","dtmlocation"
"2845","6024","Azady","ازادى","Chamchamal","Sulaymaniyah","dtmlocation"
"2846","5853","Gurgai Fattah","كوركى فتاح","Chamchamal","Sulaymaniyah","dtmlocation"
"2847","23669","Handreen","هندرين","Chamchamal","Sulaymaniyah","dtmlocation"
"2848","24686","Harim","هريم","Chamchamal","Sulaymaniyah","dtmlocation"
"2849","24216","Jarmo City","جرمو ستى","Chamchamal","Sulaymaniyah","dtmlocation"
"2850","24638","Khak","خاك","Chamchamal","Sulaymaniyah","dtmlocation"
"2851","24555","Peshasazy","بيشسازى","Chamchamal","Sulaymaniyah","dtmlocation"
"2852","4933","Piryadi","بيريادى","Chamchamal","Sulaymaniyah","dtmlocation"
"2855","21717","Qadir Kir Mikan","قادركرميكان","Chamchamal","Sulaymaniyah","dtmlocation"
"2858","24250","Qarahanjiriakan","قرهنجيريكان","Chamchamal","Sulaymaniyah","dtmlocation"
